"module name","licenses","repository","licenseUrl","parents"
"is-wsl@2.1.1","MIT","https://github.com/sindresorhus/is-wsl","https://github.com/sindresorhus/is-wsl/raw/master/license","next:fire-uach"
"isarray@0.0.1","MIT","https://github.com/juliangruber/isarray","https://github.com/juliangruber/isarray","ftp:fire-uach"
"isarray@1.0.0","MIT","https://github.com/juliangruber/isarray","https://github.com/juliangruber/isarray","fire-uach"
"isexe@2.0.0","ISC","https://github.com/isaacs/isexe","https://github.com/isaacs/isexe/raw/master/LICENSE","fire-uach"
"isobject@2.1.0","MIT","https://github.com/jonschlinkert/isobject","https://github.com/jonschlinkert/isobject/raw/master/LICENSE","has-value:unset-value:fire-uach"
"isobject@3.0.1","MIT","https://github.com/jonschlinkert/isobject","https://github.com/jonschlinkert/isobject/raw/master/LICENSE","fire-uach"
"isomorphic-fetch@2.2.1","MIT","https://github.com/matthew-andrews/isomorphic-fetch","https://github.com/matthew-andrews/isomorphic-fetch/raw/master/LICENSE","fire-uach"
"isomorphic-unfetch@3.0.0","MIT*","https://github.com/developit/unfetch","https://github.com/developit/unfetch/raw/master/readme.md","fire-uach"
"isstream@0.1.2","MIT","https://github.com/rvagg/isstream","https://github.com/rvagg/isstream/raw/master/LICENSE.md","fire-uach"
"istanbul-lib-coverage@2.0.5","BSD-3-Clause","https://github.com/istanbuljs/istanbuljs","https://github.com/istanbuljs/istanbuljs/raw/master/LICENSE","fire-uach"
"istanbul-lib-instrument@3.3.0","BSD-3-Clause","https://github.com/istanbuljs/istanbuljs","https://github.com/istanbuljs/istanbuljs/raw/master/LICENSE","fire-uach"
"istanbul-lib-report@2.0.8","BSD-3-Clause","https://github.com/istanbuljs/istanbuljs","https://github.com/istanbuljs/istanbuljs/raw/master/LICENSE","fire-uach"
"istanbul-lib-source-maps@3.0.6","BSD-3-Clause","https://github.com/istanbuljs/istanbuljs","https://github.com/istanbuljs/istanbuljs/raw/master/LICENSE","fire-uach"
"istanbul-reports@2.2.6","BSD-3-Clause","https://github.com/istanbuljs/istanbuljs","https://github.com/istanbuljs/istanbuljs/raw/master/LICENSE","fire-uach"
"isurl@1.0.0","MIT","https://github.com/stevenvachon/isurl","https://github.com/stevenvachon/isurl/raw/master/LICENSE","fire-uach"
"iterall@1.2.2","MIT","github:leebyron/iterall","github:leebyron/iterall","fire-uach"
"jest-changed-files@24.9.0","MIT","https://github.com/facebook/jest","https://github.com/facebook/jest/raw/master/LICENSE","fire-uach"
"jest-cli@24.9.0","MIT","https://github.com/facebook/jest","https://github.com/facebook/jest","fire-uach"
"jest-config@24.9.0","MIT","https://github.com/facebook/jest","https://github.com/facebook/jest","fire-uach"
"jest-diff@24.9.0","MIT","https://github.com/facebook/jest","https://github.com/facebook/jest/raw/master/LICENSE","fire-uach"
"jest-docblock@24.9.0","MIT","https://github.com/facebook/jest","https://github.com/facebook/jest/raw/master/LICENSE","fire-uach"
"jest-each@24.9.0","MIT","https://github.com/facebook/jest","https://github.com/facebook/jest/raw/master/LICENSE","fire-uach"
"jest-environment-jsdom@24.9.0","MIT","https://github.com/facebook/jest","https://github.com/facebook/jest","fire-uach"
"jest-environment-node@24.9.0","MIT","https://github.com/facebook/jest","https://github.com/facebook/jest","fire-uach"
"jest-get-type@24.9.0","MIT","https://github.com/facebook/jest","https://github.com/facebook/jest/raw/master/LICENSE","fire-uach"
"jest-haste-map@24.9.0","MIT","https://github.com/facebook/jest","https://github.com/facebook/jest/raw/master/LICENSE","fire-uach"
"jest-jasmine2@24.9.0","MIT","https://github.com/facebook/jest","https://github.com/facebook/jest","fire-uach"
"jest-leak-detector@24.9.0","MIT","https://github.com/facebook/jest","https://github.com/facebook/jest/raw/master/LICENSE","fire-uach"
"jest-matcher-utils@24.9.0","MIT","https://github.com/facebook/jest","https://github.com/facebook/jest/raw/master/LICENSE","fire-uach"
"jest-message-util@24.9.0","MIT","https://github.com/facebook/jest","https://github.com/facebook/jest/raw/master/LICENSE","fire-uach"
"jest-mock@24.9.0","MIT","https://github.com/facebook/jest","https://github.com/facebook/jest/raw/master/LICENSE","fire-uach"
"jest-pnp-resolver@1.2.1","MIT","https://github.com/arcanis/jest-pnp-resolver","https://github.com/arcanis/jest-pnp-resolver","fire-uach"
"jest-regex-util@24.9.0","MIT","https://github.com/facebook/jest","https://github.com/facebook/jest/raw/master/LICENSE","fire-uach"
"jest-resolve-dependencies@24.9.0","MIT","https://github.com/facebook/jest","https://github.com/facebook/jest","fire-uach"
"jest-resolve@24.9.0","MIT","https://github.com/facebook/jest","https://github.com/facebook/jest/raw/master/LICENSE","fire-uach"
"jest-runner@24.9.0","MIT","https://github.com/facebook/jest","https://github.com/facebook/jest","fire-uach"
"jest-runtime@24.9.0","MIT","https://github.com/facebook/jest","https://github.com/facebook/jest","fire-uach"
